titre,prix,disponibilite,note,upc,url_image,categorie
Sharp Objects,Â£47.82,In stock (20 available),4,e00eb4fd7b871a48,https://books.toscrape.com/../../media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,mystery
"In a Dark, Dark Wood",Â£19.63,In stock (18 available),1,19ed25f4641d5efd,https://books.toscrape.com/../../media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,mystery
The Past Never Ends,Â£56.50,In stock (16 available),4,5ee94540d0749ea0,https://books.toscrape.com/../../media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg,mystery
A Murder in Time,Â£16.64,In stock (16 available),1,f733e8c19d40ec2e,https://books.toscrape.com/../../media/cache/cc/bd/ccbd7a62caefd5a3a2e04dd7c2ff48fe.jpg,mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,In stock (15 available),4,c7b5183f4d1d4efe,https://books.toscrape.com/../../media/cache/86/38/8638ba095b3b32e0abdef170e7bc4fd6.jpg,mystery
The Last Mile (Amos Decker #2),Â£54.21,In stock (14 available),2,3bc89353f7e3a3cc,https://books.toscrape.com/../../media/cache/e6/dc/e6dcc8f75214eb14edc1ce09c98f3d71.jpg,mystery
That Darkness (Gardiner and Renner #1),Â£13.92,In stock (14 available),1,0c7b9cf2b7662b65,https://books.toscrape.com/../../media/cache/23/b8/23b81994234ac127d701db1531a08e48.jpg,mystery
Tastes Like Fear (DI Marnie Rome #3),Â£10.69,In stock (14 available),1,2d1e337aaf341858,https://books.toscrape.com/../../media/cache/74/9b/749bca168778cf35fdb2441a9d6b403f.jpg,mystery
A Time of Torment (Charlie Parker #14),Â£48.35,In stock (14 available),5,4416c474713ec1f5,https://books.toscrape.com/../../media/cache/f1/37/f137a410ed7d6fcfce17d081caf97915.jpg,mystery
A Study in Scarlet (Sherlock Holmes #1),Â£16.73,In stock (14 available),2,63ee5bc46066a8a8,https://books.toscrape.com/../../media/cache/27/40/274003f2720f82844873945b87af6c19.jpg,mystery
Poisonous (Max Revere Novels #3),Â£26.80,In stock (12 available),3,abdd91e96515a617,https://books.toscrape.com/../../media/cache/8d/52/8d52227d29e03695ef755620078b7815.jpg,mystery
Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,In stock (12 available),4,e7fe3bf2768602cf,https://books.toscrape.com/../../media/cache/19/74/19748437aac103dbdeb1918062728726.jpg,mystery
Most Wanted,Â£35.28,In stock (12 available),3,c039f5aceb093537,https://books.toscrape.com/../../media/cache/fa/b5/fab5e650b19b76c5f5d1ce3a626376b1.jpg,mystery
Hide Away (Eve Duncan #20),Â£11.84,In stock (12 available),1,bddc6fd036eb6279,https://books.toscrape.com/../../media/cache/b2/c5/b2c501b848bccd9cc375771f53c0fb6e.jpg,mystery
Boar Island (Anna Pigeon #19),Â£59.48,In stock (12 available),3,49b24c6a41b82bd2,https://books.toscrape.com/../../media/cache/91/8c/918c2c95ae90495cdb0371a22b726d82.jpg,mystery
The Widow,Â£27.26,In stock (11 available),2,6159d8b187831770,https://books.toscrape.com/../../media/cache/e4/37/e43737572b04c7ad28b35f3da29eb8dd.jpg,mystery
Playing with Fire,Â£13.71,In stock (11 available),3,05a61a3bd8ca4149,https://books.toscrape.com/../../media/cache/09/02/0902666ade8ab8183363e53c108e5069.jpg,mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),Â£25.37,In stock (7 available),5,9735c969c652dd89,https://books.toscrape.com/../../media/cache/2c/68/2c6857eb1c10995c8b9e77a1804f68cd.jpg,mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â£52.30,In stock (7 available),5,20789fb17b423c4c,https://books.toscrape.com/../../media/cache/38/a4/38a44ac4f642f4717d865c81ec594529.jpg,mystery
Delivering the Truth (Quaker Midwife Mystery #1),Â£20.89,In stock (7 available),4,4e980425468708da,https://books.toscrape.com/../../media/cache/5c/8a/5c8acde540a88aed464ab5c52bafcd83.jpg,mystery
